#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2025-03-19T11:32:39 [V7.4.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2025-03-19T11:32:39	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-out.all=2&-order=I&-source=J/A+A/552/A64/table4&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.4.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_35520064
#Name: J/A+A/552/A64
#Title: Gaia-RVS standards (Soubiran+, 2013)
#INFO	ivoid=ivo://cds.vizier/j/a+a/552/a64	    IVOID of underlying data collection
#INFO	creator=Soubiran C.	    First author or institution
#INFO	cites=bibcode:2013A&A...552A..64S	    Article or Data origin sources
#INFO	editor=Astronomy and Astrophysics	    Editor name (article)
#INFO	original_date=2013	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/552/A64	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.35520064	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-10-18	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_552_A64_table4:
#Name: J/A+A/552/A64/table4
#Title: Mean radial velocities in SOPHIE scale
#Column	HIP	(I6)	HIP number (Cat. I/311)	[ucd=meta.id;meta.main]
#Column	RAJ2000	(A11)	Right ascension (ICRS, Epoch=J1991.25)	[ucd=pos.eq.ra]
#Column	DEJ2000	(A11)	Declination (ICRS, Epoch=J1991.25)	[ucd=pos.eq.dec]
#Column	Vmag	(F5.2)	Magnitude in Johnson V	[ucd=phot.mag;em.opt.V]
#Column	B-V	(F6.3)	Johnson B-V colour index	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	SpType	(a10)	MK spectral type	[ucd=src.spType]
#Column	Cat	(a9)	Catalogue of origin (1)	[ucd=meta.ref;meta.table]
#Column	RV	(F8.3)	? Mean Radial Velocity in SOPHIE scale	[ucd=phys.veloc;pos.heliocentric]
#Column	eRV	(F7.4)	? Internal error of RV	[ucd=stat.error]
#Column	sRV	(F7.4)	? Standard deviation of RV	[ucd=stat.error]
#Column	VC	(A2)	Plot of velocity points (if 10 points or more)	[ucd=meta.ref.url]
#Column	N	(I3)	? Number of RV measurements	[ucd=meta.number]
#Column	e_RV	(F7.4)	? Uncertainty of RV	[ucd=stat.error]
#Column	Tbase	(I5)	? Time baseline of the N observations	[ucd=time.interval]
#Column	JDm	(I5)	? Mean Julian Day of observations (JD-2400000)	[ucd=time.epoch;stat.mean]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
#Column	_RA	(F10.6)	Right Ascension (J2000) from I/239/hip_main	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F10.6)	Declination (J2000) from I/239/hip_main	[ucd=pos.eq.dec;meta.main]
HIP;RAJ2000;DEJ2000;Vmag;B-V;SpType;Cat;RV;eRV;sRV;VC;N;e_RV;Tbase;JDm;Simbad;_RA;_DE
 69979;14 19 09.24;+59 18 07.2; 8.72; 0.639;G5        ;nor      ; -23.167; 0.0106; 0.0243;VC;  2; 0.0172; 4361;53509;Simbad;214.788264;+59.302145
 69982;14 19 12.02;-60 49 33.6; 8.31; 0.793;G8IV      ;nor      ;   7.152; 0.0092; 0.0236;VC;  4; 0.0118; 3209;54401;Simbad;214.799257;-60.826087
 70105;14 20 42.86;+57 10 52.8; 8.26; 0.581;G5        ;nor      ;   2.535; 0.0090; 0.0962;VC;  2; 0.0680;  789;55295;Simbad;215.178490;+57.181190
 70123;14 20 53.55;-17 28 52.9; 8.31; 0.628;G3V       ;nor      ; -18.156; 0.0145; 0.0191;VC;  2; 0.0135;  741;54958;Simbad;215.222978;-17.481521
 70218;14 21 57.64;+29 37 49.3; 8.56; 1.275;K5V       ;nor      ; -36.962; 0.0087; 0.0325;VC;  8; 0.0115; 5427;54395;Simbad;215.488402;+29.629618
 70252;14 22 28.93;+60 57 57.3; 7.40; 0.609;G0        ;nor      ;  -2.909; 0.0052; 0.0207;VC; 36; 0.0034; 5348;52795;Simbad;215.620475;+60.965710
 70319;14 23 15.15;+01 14 33.8; 6.25; 0.639;G1V       ;ni,nor   ; -19.166; 0.0064; 0.0556;VC; 10; 0.0176; 5139;54178;Simbad;215.813686;+01.241569
 70383;14 24 00.73;+05 49 22.6; 7.19; 1.010;K0        ;fa       ; -41.384; 0.0081; 0.0467;VC;  2; 0.0330; 1445;54968;Simbad;216.002938;+05.822975
 70470;14 24 49.06;+41 16 32.2; 8.36; 0.757;G5        ;nor      ; -37.404; 0.0088; 0.0223;VC;  5; 0.0100; 1111;54642;Simbad;216.203923;+41.275107
 70499;14 25 15.75;+53 35 06.5; 7.11; 0.526;F8        ;nor      ;  -3.225; 0.0089; 0.0082;VC;  4; 0.0044; 2768;55109;Simbad;216.315962;+53.584951
 70520;14 25 30.04;+20 35 29.7; 7.27; 0.581;F9V       ;nor      ; -48.580; 0.0059; 0.0160;VC; 90; 0.0017; 4469;52684;Simbad;216.375500;+20.590159
 70623;14 26 48.37;-05 10 38.7; 8.81; 0.810;K0        ;ni       ; -32.866; 0.0105; 0.0726;VC;  6; 0.0297; 4443;54714;Simbad;216.701168;-05.177780
 70646;14 26 59.00;+52 29 09.1; 9.52; 0.927;K0        ;fa       ;  -2.673; 0.0090; 0.0106;VC;  2; 0.0075; 1443;54968;Simbad;216.745873;+52.485847
 70782;14 28 31.25;+02 47 19.3; 7.02; 0.549;F8        ;ni,nor   ;  -5.710; 0.0083; 0.0297;VC;  2; 0.0210; 1445;54968;Simbad;217.129735;+02.788833
 70873;14 29 36.69;+41 47 47.2; 6.36; 0.702;G5V       ;ni,nor   ;  -0.354; 0.0094; 0.1143;VC;  2; 0.0808; 1908;54737;Simbad;217.403369;+41.795911
 70950;14 30 45.32;+35 27 11.8; 8.68; 1.031;K3V       ;nor      ; -18.892; 0.0158; 0.5447;VC; 59; 0.0709; 4636;51561;Simbad;217.687408;+35.453751
 71050;14 31 48.92;-64 17 00.5; 8.21; 0.637;G2V       ;nor      ;  -9.665; 0.0089; 0.0028;VC;  4; 0.0044; 2885;54334;Simbad;217.953188;-64.283849
 71062;14 31 55.90;-68 48 33.1; 8.39; 0.564;G0w...    ;nor      ; -48.280; 0.0274; 0.0276;VC;  2; 0.0195; 1127;55151;Simbad;217.981828;-68.809634
 71168;14 33 20.27;+36 57 33.1; 6.39; 0.521;F8IVw     ;nor      ;   6.246; 0.0082; 0.2397;VC;  2; 0.1695; 1116;55132;Simbad;218.334458;+36.959023
 71177;14 33 25.46;+06 17 10.4; 7.70; 0.544;F7V       ;nor      ;   3.362; 0.0086; 0.0296;VC;  5; 0.0132; 1506;54635;Simbad;218.356090;+06.285758
 71181;14 33 29.05;+52 54 29.5; 7.24; 0.997;K3V       ;nor      ;  11.392; 0.0144; 0.0143;VC; 22; 0.0031; 4520;51326;Simbad;218.370279;+52.908790
 71322;14 35 06.00;+23 30 56.9; 8.41; 0.652;G5        ;nor      ; -21.125; 0.0096; 0.0164;VC;  5; 0.0073; 4362;54060;Simbad;218.774833;+23.515632
 71395;14 36 00.44;+09 44 49.7; 7.48; 0.973;K0        ;ni       ;  -9.577; 0.0100; 0.0904;VC;  2; 0.0639; 2651;54365;Simbad;219.002336;+09.746518
 71458;14 36 48.47;-29 06 43.6; 8.02; 0.640;Gw        ;nor      ; -75.760; 0.0509; 0.0106;VC;  2; 0.0360; 1127;55151;Simbad;219.202129;-29.112958
 71559;14 38 07.13;-12 54 38.0; 7.48; 0.651;G2V       ;nor      ; -42.816; 0.0112; 0.0094;VC;  3; 0.0065; 1125;55332;Simbad;219.529101;-12.910686
 71605;14 38 40.21;+30 00 53.9; 7.55; 1.114;K0        ;fa       ;  -0.412; 0.0082; 0.0262;VC;  2; 0.0185;  330;54737;Simbad;219.667510;+30.014994
 71679;14 39 39.74;+66 20 48.5; 7.38; 0.602;G5        ;nor      ; -11.449; 0.0051; 0.0156;VC; 33; 0.0027; 5348;52856;Simbad;219.915417;+66.346756
 71718;14 40 10.67;+57 42 47.4; 7.88; 0.511;F8        ;nor      ; -14.373; 0.0127; 0.0323;VC;  3; 0.0187; 2260;54580;Simbad;220.044013;+57.713183
 71726;14 40 18.33;+30 26 38.2; 7.70; 0.637;G0        ;nor      ; -11.844; 0.0085; 0.0426;VC; 10; 0.0135; 3569;53300;Simbad;220.076647;+30.443837
 71755;14 40 39.21;-65 25 06.2; 7.82; 0.528;F7V       ;nor      ; -30.066; 0.0147; 0.0228;VC;  4; 0.0114; 2533;54963;Simbad;220.162959;-65.418341
 71785;14 41 02.43;-02 25 23.7; 8.38; 0.564;G0V       ;nor      ; -12.809; 0.0146; 0.0475;VC;  5; 0.0212; 1466;55383;Simbad;220.260124;-02.423590
 71806;14 41 18.81;+03 26 55.8; 8.41; 0.636;G0V       ;nor      ; -15.951; 0.0053; 0.0112;VC;  9; 0.0037;  342;54870;Simbad;220.328372;+03.448766
 71834;14 41 41.43;-09 48 34.1; 8.04; 0.521;F8        ;nor      ; -23.882; 0.0116; 0.1111;VC;  3; 0.0642; 1140;55544;Simbad;220.422635;-09.809493
 71855;14 41 52.19;-75 08 22.0; 6.73; 0.707;G5V       ;nor      ;  -2.922; 0.0087; 0.0215;VC;  4; 0.0108; 4388;53818;Simbad;220.468583;-75.139479
 72155;14 45 30.74;-37 57 23.5; 8.37; 0.609;G1IV      ;nor      ;  -8.540; 0.0153;       ;VC;  1; 0.0153;     ;56041;Simbad;221.377807;-37.956671
 72180;14 45 48.85;+14 38 32.2; 8.64; 0.537;G         ;nor      ; -32.193; 0.0147; 0.0948;VC;  2; 0.0670;  789;55295;Simbad;221.453350;+14.642276
 72190;14 45 56.84;+10 03 07.5; 7.52; 0.612;G2IV      ;ni,nor   ; -15.639; 0.0097; 0.0203;VC;  2; 0.0143; 1906;54736;Simbad;221.486604;+10.052007
 72223;14 46 16.34;+03 30 15.1; 7.38; 0.562;G0V       ;nor      ;  23.149; 0.0092; 0.0383;VC;  3; 0.0221; 2151;54491;Simbad;221.568107;+03.504064
 72312;14 47 16.27;+02 42 12.3; 7.76; 0.893;G8V       ;ni,nor   ;  12.942; 0.0097; 0.0303;VC;  2; 0.0215; 1047;53722;Simbad;221.817085;+02.703224
 72339;14 47 32.80;-00 16 52.1; 8.04; 0.781;K0III     ;ni,nor   ; -12.467; 0.0156; 0.1212;VC;  4; 0.0606; 4334;53862;Simbad;221.886362;-00.281476
 72353;14 47 43.42;-27 41 56.3; 7.55; 0.541;F8V       ;nor      ; -26.758; 0.0314; 0.0283;VC;  2; 0.0222; 1127;55151;Simbad;221.930783;-27.699063
 72507;14 49 31.75;-59 07 54.1; 8.52; 0.648;G3V       ;nor      ; -76.095; 0.0087; 0.0056;VC;  4; 0.0043; 4005;54116;Simbad;222.381670;-59.131812
 72577;14 50 21.32;+06 48 54.3; 9.08; 0.957;K2V       ;ni,nor   ; -32.054; 0.0086; 0.0544;VC;  2; 0.0385; 1119;55129;Simbad;222.587312;+06.814929
 72600;14 50 38.00;-32 27 58.2; 7.46; 0.507;F7V       ;nor      ; -31.106; 0.0268; 0.0057;VC;  3; 0.0154; 1453;55448;Simbad;222.658041;-32.466529
 72604;14 50 41.25;+22 54 28.0; 7.50; 0.643;G5        ;nor      ; -26.864; 0.0048; 0.0109;VC; 57; 0.0014; 4347;52992;Simbad;222.670737;+22.907616
 72688;14 51 41.07;-24 18 11.1; 7.81; 1.036;K3V       ;ni,nor   ; -57.059; 0.0085; 0.0041;VC;  4; 0.0043; 3626;54147;Simbad;222.918607;-24.304133
 72735;14 52 13.96;+15 23 53.5; 8.79; 0.594;G5        ;nor      ;   2.994; 0.0094; 0.0509;VC;  2; 0.0360;  790;55294;Simbad;223.058206;+15.398186
 72772;14 52 33.33;-30 34 37.7; 6.30; 0.605;G0/G1V    ;ni,nor   ; -28.792; 0.0070; 0.0071;VC;  4; 0.0035; 3559;53972;Simbad;223.137919;-30.577253
 72830;14 53 11.98;+28 30 29.0; 7.96; 0.896;K0V       ;fa,ni    ; -44.570; 0.0083; 0.0184;VC;  2; 0.0130;  328;54734;Simbad;223.299660;+28.508272
 72944;14 54 29.07;+16 06 04.9;10.11; 1.500;M2Ve      ;ni       ;  -7.456; 0.0100; 0.2001;VC;  5; 0.0895;  725;54405;Simbad;223.621821;+16.101062
 72960;14 54 38.03;-51 24 22.7; 8.86; 0.617;G3IVw     ;nor      ;  17.523; 0.0234; 0.0042;VC;  2; 0.0165; 1125;55152;Simbad;223.658525;-51.406409
 73005;14 55 12.00;+53 40 45.1; 7.77; 0.785;K1V       ;ni,nor   ; -14.686; 0.0306; 0.0668;VC;  3; 0.0386; 3196;51404;Simbad;223.796015;+53.680347
 73139;14 56 48.68;-20 29 23.5; 8.20; 0.747;G8V       ;nor      ;  -5.836; 0.0081; 0.0050;VC;  4; 0.0040; 2532;54260;Simbad;224.202738;-20.489986
 73388;14 59 52.42;+27 09 36.6; 7.64; 1.006;K0III     ;fa       ; -23.686; 0.0098; 0.0646;VC;  3; 0.0373;  331;54792;Simbad;224.968303;+27.160288
 73547;15 01 53.29;-47 00 26.3; 7.74; 0.721;G6V       ;nor      ;  -7.425; 0.0058; 0.0046;VC;  9; 0.0019; 4020;53157;Simbad;225.471946;-47.007472
 73593;15 02 33.18;+16 03 17.1; 7.01; 0.599;G2V       ;ni,nor   ; -32.609; 0.0082; 0.0870;VC;  2; 0.0615;  326;54735;Simbad;225.637718;+16.054956
 73623;15 02 58.80;+65 46 42.9; 7.33; 0.574;G0        ;nor      ;  -2.712; 0.0064; 0.0136;VC; 23; 0.0028; 4832;52358;Simbad;225.745429;+65.778276
 73941;15 06 35.19;+36 27 21.5; 6.35; 0.537;F8V       ;ni,nor   ;  -5.810; 0.0049; 0.0125;VC; 30; 0.0023; 4404;53008;Simbad;226.646437;+36.456062
 74033;15 07 46.81;+08 52 47.7; 8.26; 0.575;F9V       ;nor      ; -59.789; 0.0088; 0.0863;VC;  2; 0.0610;  790;55296;Simbad;226.943747;+08.879777
 74059;15 08 06.49;-12 03 04.6; 7.66; 0.727;G5        ;nor      ;  13.463; 0.0111; 0.0180;VC;  3; 0.0104; 1469;54849;Simbad;227.026705;-12.051419
 74092;15 08 30.21;+72 22 09.7; 7.84; 0.602;G0        ;nor      ;  -4.055; 0.0092; 0.0108;VC;  6; 0.0044; 2152;54825;Simbad;227.126548;+72.369342
 74097;15 08 35.82;+70 08 48.5; 8.03; 0.529;G5        ;nor      ;  -9.098; 0.0110; 0.0278;VC;  3; 0.0161; 2541;54471;Simbad;227.149334;+70.146820
 74176;15 09 22.34;+57 06 44.5; 7.44; 0.545;F8        ;nor      ; -39.434; 0.0092; 0.0240;VC;  2; 0.0170; 1117;55132;Simbad;227.343179;+57.112138
 74273;15 10 44.97;-61 25 20.2; 6.29; 0.623;G3IV      ;nor      ;  37.974; 0.0067; 0.0084;VC;  4; 0.0042; 4418;53951;Simbad;227.686433;-61.422320
 74330;15 11 32.11;-73 09 09.6; 8.50; 0.561;F8V       ;nor      ; -21.194; 0.0291; 0.0316;VC;  3; 0.0182; 1453;55448;Simbad;227.883075;-73.152841
 74373;15 11 54.17;+09 46 37.2; 7.41; 0.983;K0        ;fa       ; -48.063; 0.0083; 0.0573;VC;  2; 0.0405;  329;54737;Simbad;227.975335;+09.776898
 74389;15 12 10.29;-30 53 09.7; 7.76; 0.662;G2V       ;nor      ;   7.636; 0.0080; 0.0064;VC;  4; 0.0040; 4067;53885;Simbad;228.043142;-30.886289
 74500;15 13 28.92;-25 18 33.0; 6.47; 0.691;G5V       ;ni,nor   ;   5.174; 0.0060; 0.0121;VC;  6; 0.0049; 4412;53684;Simbad;228.369448;-25.309347
 74702;15 15 59.06;+00 47 48.1; 6.92; 0.830;K0        ;ni       ;  -3.079; 0.0301; 0.0601;VC;  3; 0.0347; 1203;50902;Simbad;228.996528;+00.796362
 74818;15 17 22.65;+74 02 42.2; 6.67; 1.027;K0        ;fa       ;  -3.621; 0.0081; 0.0396;VC;  2; 0.0280;  791;55296;Simbad;229.344234;+74.045141
 74948;15 18 55.54;-01 35 32.8; 6.93; 0.553;F8        ;nor      ;  -2.906; 0.0115; 0.0367;VC;  3; 0.0212; 1125;55332;Simbad;229.731133;-01.592386
 74976;15 19 18.77;+61 22 30.0; 7.39; 0.587;G0        ;nor      ; -37.863; 0.0085; 0.3338;VC;  2; 0.2360;  790;55296;Simbad;229.828016;+61.374954
 75101;15 20 47.17;-02 24 46.5; 6.34; 1.062;K0V       ;ni       ; -46.810; 0.0090; 0.0076;VC;  4; 0.0045; 1795;55147;Simbad;230.195917;-02.413331
 75235;15 22 25.73;-66 35 57.7; 7.92; 0.695;G2V       ;nor      ;   1.114; 0.0331; 0.0078;VC;  2; 0.0234; 1125;55152;Simbad;230.606899;-66.599454
 75253;15 22 36.73;-10 39 38.3; 7.97; 0.970;K2V       ;ni       ;  -5.912; 0.0084; 0.0045;VC;  5; 0.0038; 4284;54046;Simbad;230.652895;-10.661123
 75266;15 22 42.76;+01 25 10.2; 8.28; 0.992;K3V       ;ni,nor   ; -26.313; 0.0100; 0.0175;VC;  2; 0.0124; 2649;54367;Simbad;230.677279;+01.418627
 75277;15 22 46.98;+18 55 07.6; 7.16; 0.804;K0        ;ni       ;  -6.901; 0.0110; 0.1070;VC;  3; 0.0618; 3187;52773;Simbad;230.695141;+18.918960
 75281;15 22 52.23;+13 21 59.4; 7.91; 0.656;G0        ;ni,nor   ; -48.830; 0.0085; 0.0255;VC;  2; 0.0180;  326;54735;Simbad;230.716949;+13.366429
 75407;15 24 28.36;+81 53 41.9; 7.72; 0.583;G0        ;nor      ;  -6.070; 0.0068; 0.0168;VC;  6; 0.0069; 2153;54638;Simbad;231.121557;+81.895040
 75595;15 26 43.64;+45 36 13.6; 7.16; 0.516;F8        ;nor      ; -19.412; 0.0092; 0.0276;VC;  2; 0.0195; 1121;55131;Simbad;231.681739;+45.603915
 75634;15 27 10.41;+84 49 31.3; 6.87; 0.998;K0        ;fa       ; -31.184; 0.0081; 0.0346;VC;  2; 0.0245; 1119;55132;Simbad;231.793702;+84.825237
 75793;15 29 03.60;+41 33 36.0; 7.89; 1.179;K0        ;fa       ;-102.979; 0.0082; 0.0078;VC;  2; 0.0058;  791;55296;Simbad;232.264965;+41.560089
 75881;15 29 57.64;+32 37 07.4; 8.36; 0.641;G0        ;nor      ; -13.841; 0.0114; 3.6813;VC;  3; 2.1254; 1036;55246;Simbad;232.490128;+32.618762
 75948;15 30 42.84;-21 52 43.0; 7.79; 0.637;G3/G5V    ;nor      ; -68.001; 0.0179; 0.0276;VC;  2; 0.0195; 1127;55151;Simbad;232.678355;-21.878560
 76046;15 31 48.97;-02 03 58.9; 8.41; 0.624;G0        ;nor      ;  -9.466; 0.0116; 0.0236;VC;  3; 0.0137; 1083;54721;Simbad;232.953834;-02.066443
 76054;15 31 55.56;-43 39 52.3; 8.73; 0.587;F7V       ;nor      ; -10.847; 0.0251; 0.0191;VC;  3; 0.0145; 1451;55320;Simbad;232.981447;-43.664495
 76200;15 33 53.69;-31 01 08.3; 7.96; 0.717;G8V       ;ni,nor   ;  12.112; 0.0064; 0.0081;VC;  6; 0.0033; 4000;53631;Simbad;233.473152;-31.019049
 76543;15 37 59.13;+10 14 26.7; 7.07; 0.531;F8V       ;ni,nor   ;  37.644; 0.0083; 0.0799;VC;  2; 0.0565; 1120;55132;Simbad;234.496717;+10.239876
 76593;15 38 33.43;+65 47 26.6; 7.05; 1.097;K0        ;fa       ; -10.927; 0.0081; 0.0424;VC;  2; 0.0300; 1119;55132;Simbad;234.639524;+65.790545
 76651;15 39 09.53;+57 55 27.9; 6.45; 1.102;K1III     ;fa       ;  -7.140; 0.0081; 0.0057;VC;  2; 0.0057; 1119;55132;Simbad;234.789659;+57.924426
 76751;15 40 21.44;+01 28 08.6; 8.11; 0.700;G0        ;nor      ;  -0.326; 0.0084; 0.0841;VC;  2; 0.0595;  790;55294;Simbad;235.089293;+01.468783
 76804;15 40 55.37;-08 59 53.7; 7.96; 0.623;G0        ;nor      ;  -8.751; 0.0160; 0.0159;VC;  3; 0.0093;  741;54846;Simbad;235.230659;-08.998564
 76906;15 42 13.11;+07 49 23.4; 7.33; 0.582;G0        ;nor      ;  -0.883; 0.0072; 0.0292;VC; 37; 0.0048; 4866;52210;Simbad;235.554467;+07.823335
 77159;15 45 15.16;+04 42 30.8; 8.03; 0.661;G0        ;nor      ;   3.821; 0.0095; 0.1128;VC;  3; 0.0651; 2534;54472;Simbad;236.313131;+04.708221
 77241;15 46 16.45;+45 01 18.9; 7.81; 1.001;K0        ;fa       ;   6.341; 0.0082; 0.0042;VC;  2; 0.0058; 1118;55130;Simbad;236.568614;+45.021847
 77253;15 46 24.52;+52 08 51.8; 8.02; 1.070;K0        ;fa       ; -27.461; 0.0083; 0.0410;VC;  2; 0.0290;  790;55297;Simbad;236.602174;+52.147803
 77325;15 47 12.87;-42 12 15.8; 7.38; 0.660;G5V       ;nor      ; -55.222; 0.0087; 0.0204;VC;  3; 0.0118; 1823;54474;Simbad;236.803595;-42.204727
 77348;15 47 24.17;-01 03 48.6; 8.05; 0.789;G5        ;nor      ;   1.907; 0.0114; 0.0276;VC; 20; 0.0062; 1808;55668;Simbad;236.850604;-01.063415
 77410;15 48 11.83;-04 47 09.4; 8.10; 0.641;F9V       ;nor      ; -70.503; 0.0118; 0.0406;VC;  3; 0.0234;  755;54831;Simbad;237.049042;-04.786023
 77522;15 49 43.03;+25 38 41.3; 8.79; 0.536;G5        ;nor      ;  34.421; 0.0113; 0.0106;VC;  2; 0.0080;  652;54573;Simbad;237.429404;+25.644599
 77603;15 50 34.26;-44 33 54.1; 8.00; 0.683;G2IV/V    ;nor      ;  -9.167; 0.0192; 0.0205;VC;  2; 0.0145;  741;54958;Simbad;237.642747;-44.565103
 77718;15 52 00.59;+15 14 10.4; 7.31; 0.611;G2V       ;nor      ; -23.305; 0.0161; 0.0734;VC; 30; 0.0134; 2976;51760;Simbad;238.002301;+15.235924
 77772;15 52 52.08;-37 23 54.6; 7.74; 0.652;G3V       ;nor      ;        ;       ;       ;VC;   ;       ;     ;     ;Simbad;238.217011;-37.398588
 77930;15 54 54.92;+22 08 33.2; 8.22; 0.614;G0        ;nor      ; -19.818; 0.0086; 0.0277;VC;  5; 0.0124; 1013;55244;Simbad;238.728974;+22.142546
 77954;15 55 12.25;-52 58 34.6; 8.93; 0.587;F8V       ;nor      ;  -7.712; 0.0188; 0.0050;VC;  3; 0.0108; 1127;55210;Simbad;238.800978;-52.976345
 78026;15 55 55.51;-58 41 01.2; 7.94; 0.629;G0V       ;nor      ;   7.686; 0.0209; 0.0417;VC;  2; 0.0295; 1129;55152;Simbad;238.981268;-58.683718
 78169;15 57 40.92;-60 12 00.0; 7.33; 0.621;G1V       ;nor      ; -11.715; 0.0086; 0.0177;VC;  4; 0.0088; 4636;53800;Simbad;239.419961;-60.200257
 78424;16 00 36.73;+80 37 39.9; 7.57; 1.060;K0        ;fa       ; -21.711; 0.0050; 0.0192;VC; 68; 0.0023; 6072;53796;Simbad;240.152809;+80.627798
 78516;16 01 45.67;+31 52 34.3; 7.67; 0.597;G0        ;nor      ;  -1.055; 0.0093; 0.0244;VC;  3; 0.0141; 2151;54600;Simbad;240.440331;+31.876224
 78775;16 04 57.22;+39 09 23.0; 6.66; 0.734;G8V       ;ni,nor   ; -59.381; 0.0146; 0.0171;VC; 25; 0.0034; 5173;51422;Simbad;241.236638;+39.156509
 78955;16 07 03.53;-14 04 16.8; 6.32; 0.660;G5V       ;ni,nor   ; -13.992; 0.0077; 0.0177;VC;  6; 0.0072; 4077;54239;Simbad;241.764041;-14.071292
 79165;16 09 26.69;+11 34 27.2; 7.45; 0.604;G0        ;ni,nor   ; -36.105; 0.0170; 0.0320;VC; 40; 0.0051; 2270;51881;Simbad;242.360954;+11.574461
 79169;16 09 30.11;-17 11 16.1; 7.89; 0.640;G2/G3V    ;nor      ;  45.994; 0.0147; 0.0177;VC;  4; 0.0089; 1462;55682;Simbad;242.375366;-17.188033
 79214;16 10 00.54;-35 38 32.6; 7.16; 0.596;G1/G2V    ;ni,nor   ; -53.138; 0.0172; 0.0007;VC;  2; 0.0121; 1125;55154;Simbad;242.502342;-35.642559
 79248;16 10 24.21;+43 49 06.1; 6.61; 0.877;K0V       ;ni       ; -13.731; 0.0068; 0.0591;VC;137; 0.0051; 6075;52222;Simbad;242.601310;+43.817645
 79327;16 11 23.80;+28 26 19.3; 7.59; 0.555;F8        ;nor      ; -33.544; 0.0167; 0.1651;VC; 52; 0.0229; 2601;51779;Simbad;242.848881;+28.438540
 79346;16 11 36.43;-27 04 41.5; 8.12; 0.623;G3V       ;nor      ;  11.795; 0.0166; 0.0205;VC;  2; 0.0145; 1135;55155;Simbad;242.901856;-27.078172
 79377;16 12 02.43;-18 13 57.2; 7.41; 0.616;G1/G2V    ;nor      ; -11.796; 0.0085; 0.0106;VC;  4; 0.0053; 3024;54367;Simbad;243.010227;-18.232623
 79524;16 13 40.42;-21 23 59.9; 6.68; 0.617;G3V       ;ni,nor   ;  21.222; 0.0068; 0.0038;VC;  4; 0.0034; 4623;53893;Simbad;243.418098;-21.399960
 79619;16 14 50.25;+70 55 49.3; 7.83; 0.722;G5        ;ni,nor   ; -16.715; 0.0095; 0.1499;VC;  2; 0.1060; 1424;55285;Simbad;243.709365;+70.929663
 79636;16 15 04.38;-56 22 26.4; 7.80; 0.603;G2IV      ;nor      ;  -8.262; 0.0076; 0.0122;VC;  4; 0.0061; 3979;53972;Simbad;243.767325;-56.374541
 79658;16 15 19.14;-27 12 35.8; 7.53; 0.614;G1V       ;nor      ; -23.068; 0.0077; 0.0043;VC;  4; 0.0038; 3530;54337;Simbad;243.829559;-27.210260
 79715;16 16 06.53;-52 48 52.3; 8.35; 0.653;G2III     ;nor      ;  14.439; 0.0087; 0.0178;VC;  3; 0.0103; 2209;54604;Simbad;244.026746;-52.814549
 79862;16 18 05.92;+34 28 58.5; 7.50; 0.631;G0        ;ni,nor   ; -14.502; 0.0141; 0.0092;VC; 13; 0.0039; 4803;52097;Simbad;244.524487;+34.482764
 79946;16 19 08.39;-28 17 35.8; 7.68; 0.616;G5V       ;ni,nor   ; -30.150; 0.0074; 0.0113;VC;  4; 0.0057; 3092;54374;Simbad;244.785137;-28.293883
 79967;16 19 20.72;-54 30 48.1; 7.09; 0.642;G4V       ;nor      ;  90.260; 0.0077; 0.0046;VC;  4; 0.0039; 4273;53955;Simbad;244.836919;-54.513595
 79969;16 19 22.59;-25 45 38.3; 8.16; 0.727;K1V+...   ;nor      ; -10.407; 0.0088; 0.0147;VC;  4; 0.0074; 3006;54340;Simbad;244.843896;-25.760723
 80013;16 19 59.56;-40 49 04.6; 7.72; 0.666;G3/G5V    ;nor      ;  31.117; 0.0081; 0.0169;VC;  4; 0.0085; 4275;53709;Simbad;244.998306;-40.818236
 80109;16 21 08.32;-19 56 40.1; 8.72; 0.713;G6V       ;nor      ;  45.809; 0.0112; 0.0200;VC;  3; 0.0115; 1153;54960;Simbad;245.284300;-19.945023
 80182;16 22 07.02;+12 12 53.0; 8.18; 0.544;G0        ;nor      ;  -6.590; 0.0078; 0.0235;VC;  5; 0.0105; 2182;54499;Simbad;245.529449;+12.214556
